      Step     Time          Energy         fmax
BFGS:    0 21:26:28        4.222338        3.5214
BFGS:    1 21:27:02        3.987147        2.3330
BFGS:    2 21:27:36        3.829127        1.6486
BFGS:    3 21:28:10        3.732870        1.2220
BFGS:    4 21:28:44        3.682230        0.8204
BFGS:    5 21:29:17        3.654473        0.5344
BFGS:    6 21:29:51        3.632517        0.6136
BFGS:    7 21:30:24        3.611233        0.5429
BFGS:    8 21:30:57        3.593631        0.4270
BFGS:    9 21:31:31        3.583617        0.2746
BFGS:   10 21:32:05        3.580500        0.2463
